t,MV,PV,DV
0.000000000000000000e+00,5.999999999999997868e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+00,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.999999999999998579e+01,2.282999999999999829e+01,5.000000000000000000e+01
3.000000000000000000e+00,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
4.000000000000000000e+00,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
5.000000000000000000e+00,6.000000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01
6.000000000000000000e+00,6.000000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01
7.000000000000000000e+00,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
8.000000000000000000e+00,6.000000000000002842e+01,2.282999999999999829e+01,5.000000000000000000e+01
9.000000000000000000e+00,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+01,6.000000000000001421e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.100000000000000000e+01,6.000000000000002842e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.999999999999997158e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.300000000000000000e+01,6.000000000000000000e+01,2.285999999999999943e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.999999999999997868e+01,2.289999999999999858e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.999999999999998579e+01,2.285999999999999943e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.999999999999998579e+01,2.292999999999999972e+01,5.000000000000000000e+01
1.700000000000000000e+01,6.000000000000002132e+01,2.292999999999999972e+01,5.000000000000000000e+01
1.800000000000000000e+01,6.000000000000000711e+01,2.296000000000000085e+01,5.000000000000000000e+01
1.900000000000000000e+01,6.000000000000002132e+01,2.308999999999999986e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.999999999999998579e+01,2.312000000000000099e+01,5.000000000000000000e+01
2.100000000000000000e+01,6.000000000000001421e+01,2.319000000000000128e+01,5.000000000000000000e+01
2.200000000000000000e+01,6.000000000000002132e+01,2.314999999999999858e+01,5.000000000000000000e+01
2.300000000000000000e+01,6.000000000000000711e+01,2.314999999999999858e+01,5.000000000000000000e+01
2.400000000000000000e+01,6.000000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01
2.500000000000000000e+01,6.000000000000002132e+01,2.337999999999999901e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.999999999999997158e+01,2.344000000000000128e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.999999999999997158e+01,2.348000000000000043e+01,5.000000000000000000e+01
2.800000000000000000e+01,6.000000000000000711e+01,2.348000000000000043e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.999999999999999289e+01,2.353999999999999915e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.999999999999999289e+01,2.367000000000000171e+01,5.000000000000000000e+01
3.100000000000000000e+01,6.000000000000001421e+01,2.380000000000000071e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.999999999999997868e+01,2.380000000000000071e+01,5.000000000000000000e+01
3.300000000000000000e+01,6.000000000000000000e+01,2.385999999999999943e+01,5.000000000000000000e+01
3.400000000000000000e+01,6.000000000000001421e+01,2.396000000000000085e+01,5.000000000000000000e+01
3.500000000000000000e+01,6.000000000000002132e+01,2.408999999999999986e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.999999999999997868e+01,2.412000000000000099e+01,5.000000000000000000e+01
3.700000000000000000e+01,6.000000000000000711e+01,2.414999999999999858e+01,5.000000000000000000e+01
3.800000000000000000e+01,6.000000000000000711e+01,2.425000000000000000e+01,5.000000000000000000e+01
3.900000000000000000e+01,6.000000000000000000e+01,2.437999999999999901e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.999999999999999289e+01,2.444000000000000128e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.999999999999997158e+01,2.451000000000000156e+01,5.000000000000000000e+01
4.200000000000000000e+01,6.000000000000001421e+01,2.467000000000000171e+01,5.000000000000000000e+01
4.300000000000000000e+01,6.000000000000000711e+01,2.476999999999999957e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.999999999999997868e+01,2.485999999999999943e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.999999999999997868e+01,2.496000000000000085e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.999999999999997868e+01,2.508999999999999986e+01,5.000000000000000000e+01
4.700000000000000000e+01,6.000000000000002842e+01,2.517999999999999972e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.999999999999999289e+01,2.530999999999999872e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.999999999999999289e+01,2.537999999999999901e+01,5.000000000000000000e+01
5.000000000000000000e+01,6.000000000000001421e+01,2.541000000000000014e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.999999999999997158e+01,2.573000000000000043e+01,5.000000000000000000e+01
